bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
C001127,Sheila,Cherfilus-McCormick,Sheila Cherfilus-McCormick,1/25/79,46,"46 years, 8 months",1/18/22,44,3.67,"3 years, 8 months",Sheila,,Cherfilus-McCormick,,Sheila,,Cherfilus-McCormick,,,,,,"Brooklyn, King's County, N.Y","graduated from Chaminade-Madonna College Preparatory, Hollywood, Fla., 1997; B.A., Howard University, Washington, D.C., 2001; attended University of Maryland Global Campus, Adelphi, Md., 2005-2007; J.D., St. Thomas University School of Law, Miami Gardens, Fla., 2010",
C001080,Judy,Chu,Judy Chu,7/7/53,72,"72 years, 3 months",7/14/09,194,16.17,"16 years, 2 months",Judy,,Chu,,Judy,,Chu,,,,,,"Los Angeles, Los Angeles County, Calif","graduated from Buchser High School, Santa Clara, Calif., 1970; B.A., University of California, Los Angeles, Calif., 1974; Ph.D., California School of Professional Psychology, Los Angeles, Calif., 1979; professor, Los Angeles City College, Los Angeles, Calif., 1981-1988; professor, East Los Angeles College, Monterey Park, Calif., 1988-2001; member of the Garvey, Calif., school district, 1985-1988",
C001133,Juan,Ciscomani,Juan Ciscomani,8/31/82,43,"43 years, 1 months",1/3/23,32,2.67,"2 years, 8 months",Juan,,Ciscomani,,Juan,,Ciscomani,,,,,,"Hermosillo, Sonora, Mexico","graduated from Rincon High School, Tucson, Ariz.; A.A., Pima Community College, Tucson, Ariz., 2003; B.A., University of Arizona, Tucson, Ariz., 2005; senior program development specialist, University of Arizona, Tucson, Ariz., 2006-2011",
C001123,Gil,Cisneros,Gil Cisneros,2/12/71,54,"54 years, 8 months",1/3/25,8,0.67,8 months,Gil,,Cisneros,,Gil,,Cisneros,,Jr.,,Navy,Yes,"Torrance, Los Angeles County, Calif","graduated from Torrance High School, Torrance, Calif.; B.A., George Washington University, Washington, D.C., 1994; M.B.A., Regis University, Denver, Colo., 2002; M.A., Brown University, Providence, R.I., 2015",
C001101,Katherine,Clark,Katherine Clark,7/17/63,62,"62 years, 2 months",12/12/13,141,11.75,"11 years, 9 months",Katherine,M.,Clark,,Katherine,M.,Clark,,,,,,"New Haven, New Haven County, Conn","B.A., Saint Lawrence University, Canton, N.Y., 1985; J.D., Cornell University, Ithaca, N.Y., 1989; M.P.A., John F. Kennedy School of Government, Harvard University, Cambridge, Mass., 1997; member of the Melrose, Mass. school committee, 2001-2007",
C001067,Yvette,Clarke,Yvette Clarke,11/21/64,60,"60 years, 10 months",1/3/07,224,18.67,"18 years, 8 months",Yvette,Diane,Clarke,,Yvette,Diane,Clarke,,,,,,"Brooklyn, Kings County, N.Y","graduated from Edward R. Murrow High School, New York City, N.Y., 1982; attended Oberlin College, Oberlin, Ohio, 1982-1986",
C001061,Emanuel,Cleaver,Emanuel Cleaver,10/26/44,80,"80 years, 11 months",1/3/05,248,20.67,"20 years, 8 months",Emanuel,,Cleaver,,Emanuel,,Cleaver,,II,,,,"Waxahachie, Ellis County, Tex","graduated from Booker T. Washington High School, Wichita Falls, Tex., 1963; M University, Prairie View, Tex., 1972; M.Div., St. Paul School of Theology, Kansas City, Mo., 1974",
C001118,Ben,Cline,Ben Cline,2/29/72,53,"53 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Benjamin,,Cline,,Benjamin,,Cline,,,,,,"Stillwater, Payne County, Okla","graduated from Lexington High School, Lexington, Va., 1990; B.A., Bates College, Lewiston, Me., 1994; J.D., University of Richmond Law School, Richmond, Va., 2007",
C001115,Michael,Cloud,Michael Cloud,5/13/75,50,"50 years, 5 months",7/10/18,86,7.17,"7 years, 2 months",Michael,,Cloud,,Michael,,Cloud,,,,,,"Baton Rouge, East Baton Rouge Parish, La","graduated from Miamisburg High School, Miamisburg, Ohio, 1993; B.S., Oral Roberts University, Tulsa, Okla., 1997",
C000537,Jim,Clyburn,Jim Clyburn,7/21/40,85,"85 years, 2 months",1/3/93,392,32.67,"32 years, 8 months",James,Enos,Clyburn,,James,Enos,Clyburn,,,,,,"Sumter, Sumter County, S.C","graduated from Mather Academy, Camden, S.C., 1957; B.A., South Carolina State University, Orangeburg, S.C., 1961",
C001116,Andrew,Clyde,Andrew Clyde,11/22/63,61,"61 years, 10 months",1/3/21,56,4.67,"4 years, 8 months",Andrew,S.,Clyde,,Andrew,S.,Clyde,Mr.,,,Navy Navy Reserve,Yes,"Ontario, Canada","attended the University of Notre Dame, Notre Dame, Ind.; B.B.A., Bethel College, Mishawaka, Ind., 1985; M.B.A., University of Georgia, Athens, Ga., 1999",
C001068,Steve,Cohen,Steve Cohen,5/24/49,76,"76 years, 4 months",1/3/07,224,18.67,"18 years, 8 months",Stephen,,Cohen,,Stephen,,Cohen,,,,,,"Memphis, Shelby County, Tenn","attended Polytechnic School, Pasadena, Calif., 1964-1966; graduated from Coral Gables Senior High School, Coral Gables, Fla., 1967; B.A., Vanderbilt University, Nashville, Tenn., 1971; J.D., University of Memphis, Memphis, Tenn., 1973",
C001053,Tom,Cole,Tom Cole,4/28/49,76,"76 years, 5 months",1/3/03,272,22.67,"22 years, 8 months",Tom,,Cole,,Tom,,Cole,,,,,,"Shreveport, Caddo Parish, La., on April 28","graduated from Moore High School, Moore, Okla., 1967; B.A., Grinnell College, Grinnell, Iowa, 1971; M.A., Yale University, New Haven, Conn., 1974; Ph.D., University of Oklahoma, Norman, Okla., 1984; graduate assistant, University of Oklahoma, Norman, Okla.; faculty, Oklahoma Baptist University, Shawnee, Okla.",
W000822,Bonnie Watson,Coleman,Bonnie Watson Coleman,2/6/45,80,"80 years, 8 months",1/3/15,128,10.67,"10 years, 8 months",Bonnie,,Watson Coleman,,Bonnie,,Watson Coleman,,,,,,"Camden, Camden County, N.J","graduated from Ewing High School, Ewing, N.J., 1963; B.A., Thomas Edison State College, Trenton, N.J., 1985",
C001035,Susan,Collins,Susan Collins,12/7/52,72,"72 years, 10 months",1/3/97,344,28.67,"28 years, 8 months",Susan,Margaret,Collins,,Susan,Margaret,Collins,,,,,,"Caribou, Aroostook County, Maine","graduated from St. Lawrence University, Canton, NY 1975",
C001129,Mike,Collins,Mike Collins,7/2/67,58,"58 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Mike,,Collins,,Mike,,Collins,,,,,,"Jackson, Butts County, Ga","graduated from Piedmont Academy, Monticello, Ga., 1985; B.B.A., Georgia State University, Atlanta, Ga., 1990",
C001108,James,Comer,James Comer,8/19/72,53,"53 years, 1 months",11/8/16,106,8.83,"8 years, 10 months",James,,Comer,,James,,Comer,,,,,,"Carthage, Smith County, Tenn","graduated from Monroe County High School, Tompkinsville, Ky., 1990; B.S., Western Kentucky University, Bowling Green, Ky., 1993",
C001136,Herb,Conaway,Herb Conaway,1/30/63,62,"62 years, 8 months",1/3/25,8,0.67,8 months,Herbert,C.,Conaway,,Herbert,C.,Conaway,,Jr.,,Air Force,Yes,New Jersey,"graduated from Bordentown Regional High School, Bordentown, N.J., 1981; A.B., Princeton University, Princeton, N.J., 1985; M.D., Thomas Jefferson University, Philadelphia, P.A., 1989; J.D., Rutgers University, Camden, N.J., 1996",
C001088,Chris,Coons,Chris Coons,9/9/63,62,"62 years, 1 months",11/15/10,178,14.83,"14 years, 10 months",Christopher,A.,Coons,,Christopher,A.,Coons,,,,,,"Greenwich, Conn","B.A., Amherst College, 1985; J.D., Yale University Law School, 1992; M.A.R., Yale Divinity School, 1992",
C001056,John,Cornyn,John Cornyn,2/2/52,73,"73 years, 8 months",12/2/02,273,22.75,"22 years, 9 months",John,,Cornyn,,John,,Cornyn,,,,,,"Houston, Texas, on February 2","B.A., Trinity University 1973; J.D., St. Mary's School of Law 1977; LLM, University of Virginia 1995",
C001110,Lou,Correa,Lou Correa,1/24/58,67,"67 years, 8 months",1/3/17,104,8.67,"8 years, 8 months",Jose,Luis,Correa,,Jose,Luis,Correa,,,,,,"Los Angeles, Los Angeles County, Calif","B.A., California State University, Fullerton, Calif., 1980; J.D., University of California, Los Angeles, Calif., 1985; M.B.A., University of California, Los Angeles, Calif., 1985",
C001113,Catherine,Cortez Masto,Catherine Cortez Masto,3/29/64,61,"61 years, 6 months",1/3/17,104,8.67,"8 years, 8 months",Catherine,Marie,Cortez Masto,,Catherine,Marie,Cortez Masto,,,,,,"Las Vegas, Nev","B.A., University of Nevada, 1986; J.D., Gonzaga University School of Law, 1990; executive vice chancellor for the Nevada System of Higher Education",
C001059,Jim,Costa,Jim Costa,4/13/52,73,"73 years, 6 months",1/3/05,248,20.67,"20 years, 8 months",Jim,,Costa,,Jim,,Costa,,,,,,"Fresno, Fresno County, Calif","graduated from San Joaquin Memorial High School, Fresno, Calif., 1970; B.A., California State University, Fresno, Calif., 1974",
C001095,Tom,Cotton,Tom Cotton,5/13/77,48,"48 years, 5 months",1/3/15,128,10.67,"10 years, 8 months",Tom,,Cotton,Tom,Tom,,Cotton,,,,,,"Dardanelle, Yell County, Ark","A.B., Harvard University, Cambridge, Mass., 1998; attended Claremont Graduate University, Claremont, Calif., 1998-1999; J.D., Harvard University, Cambridge, Mass., 2002",
C001069,Joe,Courtney,Joe Courtney,4/6/53,72,"72 years, 6 months",1/3/07,224,18.67,"18 years, 8 months",Joe,,Courtney,,Joe,,Courtney,,,,,,"West Hartford, Hartford County, Conn","graduated from Northwest Catholic High School, West Hartford, Conn., 1971; B.A., Tufts University, Medford, Mass., 1975; J.D., University of Connecticut, Storrs, Conn., 1978",
C001119,Angie,Craig,Angie Craig,2/14/72,53,"53 years, 8 months",1/3/19,80,6.67,"6 years, 8 months",Angela,,Craig,,Angela,,Craig,,,,,,"West Helena, Phillips County, Arkansas, on February 14","graduated from Nettleton High School, Jonesboro, Ark.; B.A., University of Memphis, Memphis, Tenn., 1994",
C001096,Kevin,Cramer,Kevin Cramer,1/21/61,64,"64 years, 8 months",1/3/19,80,6.67,"6 years, 8 months",Kevin,,Cramer,,Kevin,,Cramer,,,,,,"Rolla, Rolette County, N.Dak","graduated from Kindred High School, Kindred, N.Dak., 1979; B.A., Concordia College, Moorhead, Minn., 1983; M.A., University of Mary, Bismarck, N.Dak., 2003",
C001132,Eli,Crane,Eli Crane,1/3/80,45,"45 years, 9 months",1/3/23,32,2.67,"2 years, 8 months",Eli,,Crane,,Eli,,Crane,,,,Navy,Yes,"Tucson, Pima County, Ariz","graduated from Cibola High School, Yuma, Ariz., 1998; attended Arizona Western College, Yuma, Ariz., 1999-2000; attended University of Arizona, Tucson, Ariz., 2000-2001",
C001137,Jeff,Crank,Jeff Crank,1/28/67,58,"58 years, 8 months",1/3/25,8,0.67,8 months,Jeff,,Crank,,Jeff,,Crank,,,,,,"Pueblo, Colo., January 1967","graduated from Central High School, Pueblo, Colo., 1985; B.A., Colorado State University, Fort Collins, Colo., 1990",
C000880,Mike,Crapo,Mike Crapo,5/20/51,74,"74 years, 4 months",1/3/99,320,26.67,"26 years, 8 months",Michael,Dean,Crapo,,Michael,Dean,Crapo,,,,,,"Idaho Falls, Bonneville County, Idaho","graduated Idaho Falls High School 1969; B.A., Brigham Young University 1973; J.D., Harvard University School of Law 1977; law clerk to Judge James M. Carter, United States Court of Appeals, Ninth Circuit 1977-1978; practiced law in San Diego 1978-1979, and in Idaho Falls 1979-1992",
C001087,Rick,Crawford,Rick Crawford,1/22/66,59,"59 years, 8 months",1/3/11,176,14.67,"14 years, 8 months",Rick,,Crawford,,Rick,,Crawford,,,,Army,Yes,"Homestead Air Force Base, Miami-Dade County, Florida","graduated from Alvirne High School in Hudson, N.H.; B.S., Arkansas State University, Jonesboro, Ark., 1996",
C001120,Dan,Crenshaw,Dan Crenshaw,3/14/84,41,"41 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Daniel,,Crenshaw,,Daniel,,Crenshaw,,,,Navy,Yes,"Aberdeen, Scotland","B.A., Tufts University, Medford, Mass., 2006; M.P.A., Harvard University, Cambridge, Mass., 2017",
C001130,Jasmine,Crockett,Jasmine Crockett,3/29/81,44,"44 years, 6 months",1/3/23,32,2.67,"2 years, 8 months",Jasmine,,Crockett,,Jasmine,,Crockett,,,,,,"St. Louis, Mo","graduated from the Mary Institute and Saint Louis Country Day School, St. Louis, Mo., 1999; B.A., Rhodes College, Memphis, Tenn., 2003; attended Thurgood Marshall School of Law, Texas Southern University, Houston, Tex.; J.D., University of Houston Law Center, Houston, Tex., 2006",
C001121,Jason,Crow,Jason Crow,3/15/79,46,"46 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Jason,,Crow,,Jason,,Crow,,,,Army Army National Guard,Yes,"Madison, Dane County, Wis","B.A., University of Wisconsin, Madison, Wis., 2002; J.D., University of Denver, Denver, Colo., 2009",
C001098,Ted,Cruz,Ted Cruz,12/22/70,54,"54 years, 9 months",1/3/13,152,12.67,"12 years, 8 months",Rafael,Edward,Cruz,Ted,Rafael,Edward,Cruz,,,,,,"Calgary, Alberta, Canada","graduated Princeton University, B.A., 1992; graduated Harvard University, J.D., 1995; law clerk to Chief Justice of the United States William Rehnquist",
D000594,Monica De La,Cruz,Monica De La Cruz,11/11/74,50,"50 years, 11 months",1/3/23,32,2.67,"2 years, 8 months",Monica,,De La Cruz,,Monica,,De La Cruz,,,,,,"Brownsville, Cameron County, Tex","graduated from James Pace High School, Brownsville, Tex.; B.B.A., University of Texas, San Antonio, Tex., 1997",
C001063,Henry,Cuellar,Henry Cuellar,9/19/55,70,"70 years",1/3/05,248,20.67,"20 years, 8 months",Henry,,Cuellar,,Henry,,Cuellar,,,,,,"Laredo, Webb County, Tex","graduated from J.W. Nixon High School, Laredo, Tex., 1974; A.A., Laredo Community College, Laredo, Tex., 1976; B.S., Georgetown University, Washington, D.C., 1978; J.D., University of Texas, Austin, Tex., 1981; M International University, Laredo, Tex., 1982; Ph.D., University of Texas, Austin, Tex., 1998",
C001114,John,Curtis,John Curtis,5/10/60,65,"65 years, 5 months",1/3/25,8,0.67,8 months,John,R.,Curtis,,John,R.,Curtis,,,,,,"Ogden, Weber County, Utah","graduated from Skyline High School, Salt Lake City, Utah, 1978; attended University of Utah, Salt Lake City, Utah, 1979; B.S., Brigham Young University, Provo, Utah, 1985",
D000600,Mario,Díaz-Balart,Mario Díaz-Balart,9/25/61,64,"64 years",1/3/03,272,22.67,"22 years, 8 months",Mario,,Diaz-Balart,,Mario,,Diaz-Balart,,,,,,"Fort Lauderdale, Broward County, Fla","graduated from Miami Shores Preparatory High School, Miami Shores, Fla., 1979; attended the University of South Florida, Tampa, Fla.",
D000618,Steve,Daines,Steve Daines,8/20/62,63,"63 years, 1 months",1/3/15,128,10.67,"10 years, 8 months",Steve,,Daines,,Steve,,Daines,,,,,,"Van Nuys, Los Angeles County, Calif","graduated from Bozeman High School, Bozeman, Mont.; B.S., Montana State University, Bozeman, Mont., 1984",
D000629,Sharice,Davids,Sharice Davids,5/22/80,45,"45 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",Sharice,,Davids,,Sharice,,Davids,,,,,,"Frankfurt, Germany","graduated from Leavenworth High School, Leavenworth, Kans., 1998; attended Haskell Indian Nations University, Lawrence, Kans.; attended University of Kansas, Lawrence, Kans.; A.A., Johnson County Community College, Overland Park, Kans., 2003; B.A., University of Missouri, Kansas City, Mo., 2007; J.D., Cornell University, Ithaca, N.Y., 2010",
D000626,Warren,Davidson,Warren Davidson,3/1/70,55,"55 years, 7 months",6/9/16,111,9.25,"9 years, 3 months",Warren,,Davidson,,Warren,,Davidson,,,,Army,Yes,Ohio,"graduated from Sidney High School, Sidney, Ohio, 1989; B.A., United States Military Academy, West Point, N.Y., 1995; M.B.A., University of Notre Dame, Notre Dame, Ind.",
D000096,Danny,Davis,Danny Davis,9/6/41,84,"84 years, 1 months",1/3/97,344,28.67,"28 years, 8 months",Danny,K.,Davis,,Danny,K.,Davis,,,,,,"Parkdale, Ashley County, Ark","graduated from Savage High School, Parkdale, Ark., 1957; N. College, Pine Bluff, Ark., 1961; M.S., Chicago State University, Chicago, Ill., 1968; Ph.D., Union Institute, Cincinnati, Ohio, 1977; college professor",
D000230,Don,Davis,Don Davis,8/29/71,54,"54 years, 1 months",1/3/23,32,2.67,"2 years, 8 months",Don,,Davis,,Don,,Davis,,,,Air Force,Yes,"Snow Hill, Greene County, N.C","graduated from MacArthur High School, Irving, Tex., 1989; B.S., United States Air Force Academy, Colorado Springs, Colo., 1994; M.S., Central Michigan University, Mt. Pleasant, Mich., 1997; M.A., East Carolina University, Greenville, N.C., 2001; Ed.D., East Carolina University, Greenville, N.C., 2007; assistant professor, East Carolina University, Greenville, N.C., 1998-2001; adjunct professor, East Carolina University, Greenville, N.C., 2001-2007",
D000631,Madeleine,Dean,Madeleine Dean,6/6/59,66,"66 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",Madeleine,,Dean,,Madeleine,,Dean,,,,,,"Philadelphia, Philadelphia County, Pa","graduated from Abington High School, Abington, Pa., 1977; attended Montgomery County College, Blue Bell, Pa.; attended Fels Institute of Government, University of Pennsylvania, Philadelphia, Pa.; B.A., La Salle University, Philadelphia, Pa., 1981; J.D., Widener University Delaware Law School, Chester, Pa., 1984; faculty, La Salle University, Philadelphia, Pa., 2001-2012",
D000197,Diana,DeGette,Diana DeGette,7/29/57,68,"68 years, 2 months",1/3/97,344,28.67,"28 years, 8 months",Diana,,DeGette,,Diana,,DeGette,,,,,,"Tachikawa, Tokyo, Japan","graduated from South High School, Denver, Colo., 1975; B.A., Colorado College, Colorado Springs, Colo., 1979; J.D., New York University, New York, N.Y., 1982; law journal editor",
M001232,April McClain,Delaney,April McClain Delaney,5/28/64,61,"61 years, 4 months",1/3/25,8,0.67,8 months,April,,McClain Delaney,,April,,McClain Delaney,,,,,,"Buhl, Twin Falls County, Idaho","graduated from Buhl High School, Buhl, Idaho, 1982; B.A., Northwestern University, Evanston, Ill., 1986; J.D., Georgetown University Law Center, Washington, D.C., 1989",
D000216,Rosa,DeLauro,Rosa DeLauro,3/2/43,82,"82 years, 7 months",1/3/91,416,34.67,"34 years, 8 months",Rosa,L.,Delauro,,Rosa,L.,Delauro,,,,,,"New Haven, New Haven County, Conn","graduated from Lauralton Hall High School, Milford, Conn., 1960; B.A., Marymount College, Tarrytown, N.Y., 1964; attended the London School of Economics, London, England, 1962-1963; M.A., Columbia University, New York, N.Y., 1966",
D000617,Suzan,DelBene,Suzan DelBene,2/17/62,63,"63 years, 7 months",11/13/12,154,12.83,"12 years, 10 months",Suzan,K.,Delbene,,Suzan,K.,Delbene,,,,,,"Selma, Dallas County, Ala","graduated from The Choate School, Wallingford, Conn., 1979; B.A., Reed College, Portland, Oreg., 1983; M.B.A., University of Washington, Seattle, Wash., 1990",
D000530,Chris,Deluzio,Chris Deluzio,7/13/84,41,"41 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Chris,,Deluzio,,Chris,,Deluzio,,,,Navy,Yes,"Pittsburgh, Allegheny County, Pa","graduated from Bishop Canevin High School, Pittsburgh, Pa., 2002; B.S., United States Naval Academy, Annapolis, Md., 2006; J.D., Georgetown University, Washington, D.C., 2013; judicial law clerk, United States District Court for the Southern District of New York; faculty, University of Pittsburgh, Pittsburgh, Pa.",
D000623,Mark,DeSaulnier,Mark DeSaulnier,3/31/52,73,"73 years, 6 months",1/3/15,128,10.67,"10 years, 8 months",Mark,James,Desaulnier,,Mark,James,Desaulnier,,,,,,"Lowell, Middlesex County, Mass","graduated from Cranwell Preparatory School, Lenox, Mass., 1970; B.A. College of the Holy Cross, Worcester, Mass., 1974; fellow, John F. Kennedy School of Government, Harvard University, Cambridge, Mass., 2003",
D000616,Scott,DesJarlais,Scott DesJarlais,2/21/64,61,"61 years, 7 months",1/3/11,176,14.67,"14 years, 8 months",Scott,,Desjarlais,,Scott,,Desjarlais,,,,,,"Des Moines, Polk County, Iowa","graduated from Brown High School, Sturgis, S.Dak., 1982; B.S., University of South Dakota, Vermillion, S.Dak., 1987; M.D., University of South Dakota, Vermillion, S.Dak., 1991",
